MCHP US Equity,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Trade,Best_Bid,Best_Ask",,,,,,,
Dates,Type,Price,Size,CondCodes,ExchCode,TradeTime,Spread
2025-10-08 09:35:00,BEST_BID,65.05,1,0,Q,0,0
2025-10-08 09:35:00,BEST_ASK,65.14,1,0,F,0,0
2025-10-08 09:35:00,BEST_ASK,65.14,1,0,Q,0,0
2025-10-08 09:35:04,TRADE,65.095,200,Q,D,0,0
2025-10-08 09:35:04,BEST_ASK,65.14,2,0,Q,0,0
2025-10-08 09:35:06,BEST_BID,65.06,1,0,Q,0,0
2025-10-08 09:35:06,BEST_BID,65.1,1,0,Q,0,0
2025-10-08 09:35:06,BEST_ASK,65.14,1,0,Q,0,0
2025-10-08 09:35:06,BEST_BID,65.08,1,0,P,0,0
2025-10-08 09:35:06,BEST_BID,65.1,1,0,Q,0,0
2025-10-08 09:35:06,BEST_BID,65.1,1,0,P,0,0
2025-10-08 09:35:06,BEST_ASK,65.18,1,0,Q,0,0
2025-10-08 09:35:06,TRADE,65.14,105,0,Q,0,0
2025-10-08 09:35:06,BEST_BID,65.12,1,0,Q,0,0
2025-10-08 09:35:06,BEST_ASK,65.2,1,0,Q,0,0
2025-10-08 09:35:06,BEST_BID,65.13,1,0,Q,0,0
2025-10-08 09:35:06,BEST_BID,65.16,1,0,Q,0,0
2025-10-08 09:35:06,BEST_ASK,65.23,1,0,Q,0,0
2025-10-08 09:35:06,TRADE,65.18,100,"R6,IS",Q,0,0
2025-10-08 09:35:06,BEST_ASK,65.24,1,0,Q,0,0
2025-10-08 09:35:06,BEST_ASK,65.24,1,0,F,0,0
2025-10-08 09:35:06,BEST_ASK,65.27,2,0,Q,0,0
2025-10-08 09:35:06,BEST_ASK,65.27,1,0,F,0,0
2025-10-08 09:35:06,BEST_ASK,65.33,2,0,Q,0,0
2025-10-08 09:35:06,BEST_ASK,65.33,3,0,Q,0,0
2025-10-08 09:35:06,BEST_ASK,65.26,1,0,Q,0,0
2025-10-08 09:35:06,BEST_ASK,65.26,1,0,F,0,0
2025-10-08 09:35:06,BEST_ASK,65.31,1,0,Q,0,0
2025-10-08 09:35:06,BEST_BID,65.16,1,0,F,0,0
2025-10-08 09:35:06,BEST_ASK,65.31,2,0,Q,0,0
2025-10-08 09:35:06,BEST_BID,65.16,1,0,Q,0,0
2025-10-08 09:35:07,BEST_ASK,65.31,2,0,F,0,0
2025-10-08 09:35:07,BEST_ASK,65.31,1,0,Q,0,0
2025-10-08 09:35:07,TRADE,65.235,100,Q,D,0,0
2025-10-08 09:35:08,BEST_BID,65.17,9,0,Q,0,0
2025-10-08 09:35:08,BEST_ASK,65.31,1,0,F,0,0
2025-10-08 09:35:08,BEST_BID,65.21,1,0,Q,0,0
2025-10-08 09:35:08,BEST_ASK,65.31,1,0,Q,0,0
2025-10-08 09:35:08,BEST_BID,65.21,1,0,F,0,0
2025-10-08 09:35:08,BEST_ASK,65.33,2,0,Q,0,0
2025-10-08 09:35:08,BEST_BID,65.21,1,0,Q,0,0
2025-10-08 09:35:08,BEST_BID,65.21,1,0,F,0,0
2025-10-08 09:35:08,BEST_ASK,65.33,1,0,F,0,0
2025-10-08 09:35:08,BEST_BID,65.21,1,0,Q,0,0
2025-10-08 09:35:08,BEST_ASK,65.39,2,0,Q,0,0
2025-10-08 09:35:08,BEST_ASK,65.36,1,0,F,0,0
2025-10-08 09:35:08,BEST_ASK,65.39,2,0,Q,0,0
2025-10-08 09:35:08,BEST_ASK,65.33,1,0,F,0,0
2025-10-08 09:35:08,BEST_ASK,65.39,2,0,Q,0,0
2025-10-08 09:35:08,BEST_BID,65.21,1,0,F,0,0
2025-10-08 09:35:08,BEST_ASK,65.39,3,0,Q,0,0
2025-10-08 09:35:09,BEST_ASK,65.39,2,0,Q,0,0
2025-10-08 09:35:09,BEST_ASK,65.39,3,0,Q,0,0
2025-10-08 09:35:09,BEST_BID,65.21,1,0,Q,0,0
2025-10-08 09:35:13,BEST_ASK,65.39,2,0,Q,0,0
2025-10-08 09:35:13,TRADE,65.3,236,Q,D,0,0
2025-10-08 09:35:13,BEST_BID,65.21,1,0,F,0,0
2025-10-08 09:35:13,BEST_ASK,65.39,3,0,Q,0,0
2025-10-08 09:35:18,BEST_ASK,65.39,2,0,Q,0,0
2025-10-08 09:35:21,BEST_BID,65.21,1,0,Q,0,0
2025-10-08 09:35:21,BEST_BID,65.21,1,0,F,0,0
2025-10-08 09:35:21,BEST_ASK,65.33,1,0,Q,0,0
2025-10-08 09:35:21,BEST_BID,65.21,1,0,Q,0,0
2025-10-08 09:35:21,TRADE,65.27,100,Q,D,0,0
2025-10-08 09:35:34,BEST_BID,65.21,1,0,F,0,0
2025-10-08 09:35:34,BEST_ASK,65.33,2,0,Q,0,0
