ticker,date,raw_rows,final_rows,duplicates_removed,dup_pct,crossed_quotes,crossed_quotes_pct,nbbo_coverage_pct,trades_dropped_by_cond,trades_dropped_no_nbbo,unknown_cond_codes,processing_time_seconds,dropped_invalid_price,dropped_invalid_size,dropped_nulls,status,output_path
MCHP,10-7-25,105441,5193,35683,33.84167449094754,50,0.6626027034190299,100.0,8867,0,,13.67947769165039,0,0,0,success,data\clean\MCHP\MCHP_10-7-25_clean.parquet
MCHP,10-3-25,299205,5362,187717,62.73880028341867,54,0.46515634421569474,100.0,8348,0,,22.963529348373413,0,0,0,success,data\clean\MCHP\MCHP_10-3-25_clean.parquet
NCLH,10-3-25,120153,5474,33769,28.104999459023077,18,0.16092981671881984,100.0,9378,0,,20.517894744873047,0,0,0,success,data\clean\NCLH\NCLH_10-3-25_clean.parquet
NCLH,10-2-25,165090,8785,49642,30.069658973893027,24,0.19887305270135897,100.0,10206,0,,24.010619640350342,0,0,0,success,data\clean\NCLH\NCLH_10-2-25_clean.parquet
NCLH,10-7-25,129252,6821,35675,27.601120292142483,30,0.265158211065936,99.98881681950347,11061,2,,21.405559062957764,0,0,0,success,data\clean\NCLH\NCLH_10-7-25_clean.parquet
NCLH,10-6-25,171420,8339,48144,28.08540427021351,25,0.19043266301035955,100.0,11424,0,,24.996954202651978,0,0,0,success,data\clean\NCLH\NCLH_10-6-25_clean.parquet
NCLH,10-8-25,140977,7906,35729,25.34385041531597,19,0.16932537207022547,99.99503524972694,12235,1,,21.570188760757446,0,0,0,success,data\clean\NCLH\NCLH_10-8-25_clean.parquet
ON,10-2-25,234039,7409,112486,48.063135046445446,51,0.45830337886412653,100.0,11963,0,,22.144264698028564,0,0,0,success,data\clean\ON\ON_10-2-25_clean.parquet
ON,10-3-25,264195,4297,158512,59.998334557181465,41,0.3508771929824561,100.0,7409,0,,21.97045874595642,0,0,0,success,data\clean\ON\ON_10-3-25_clean.parquet
ON,10-6-25,180333,6246,76106,42.20303549544454,71,0.6545588642020835,100.0,9637,0,,19.467186450958252,0,0,0,success,data\clean\ON\ON_10-6-25_clean.parquet
ON,10-8-25,177310,7277,68091,38.402233376572106,91,0.8574389899180251,100.0,10447,0,,18.781076669692993,0,0,0,success,data\clean\ON\ON_10-8-25_clean.parquet
PCG,10-2-25,104486,13141,20388,19.512661983423616,9,0.12552301255230125,100.0,14933,0,,17.892736196517944,0,0,0,success,data\clean\PCG\PCG_10-2-25_clean.parquet
ON,10-7-25,243488,7269,105379,43.27910730347,85,0.6293499185547164,100.0,13149,0,,24.57160973548889,0,0,0,success,data\clean\ON\ON_10-7-25_clean.parquet
PCG,10-3-25,103281,11931,18017,17.4446413183451,4,0.05370569280343716,100.0,14002,0,,18.393141984939575,0,0,0,success,data\clean\PCG\PCG_10-3-25_clean.parquet
PCG,10-6-25,112554,16885,22682,20.15210476748938,12,0.1547787953050432,100.0,15832,0,,18.83106017112732,0,0,0,success,data\clean\PCG\PCG_10-6-25_clean.parquet
PCG,10-8-25,170451,19336,34980,20.522026858158647,12,0.15463917525773196,100.0,22349,0,,19.542901277542114,0,0,0,success,data\clean\PCG\PCG_10-8-25_clean.parquet
PCG,10-7-25,187932,22263,40072,21.322606048996445,9,0.09190237925048504,100.0,23064,0,,23.389101266860962,0,0,0,success,data\clean\PCG\PCG_10-7-25_clean.parquet
SLB,10-2-25,226260,9841,69018,30.5039799521787,17,0.11508258868128893,100.0,11072,0,,27.348235368728638,0,0,0,success,data\clean\SLB\SLB_10-2-25_clean.parquet
SLB,10-3-25,194738,7175,53378,27.4101613449866,22,0.14082703879144795,99.99413970932959,9888,1,,27.515465021133423,0,0,0,success,data\clean\SLB\SLB_10-3-25_clean.parquet
SLB,10-8-25,158489,8604,40341,25.453501504836296,25,0.20505249343832022,99.99514232973866,11981,1,,22.1064715385437,0,0,0,success,data\clean\SLB\SLB_10-8-25_clean.parquet
SLB,10-6-25,224823,8352,66240,29.463308750922952,16,0.10366051182377713,99.98533007334963,12095,3,,28.18451452255249,0,0,0,success,data\clean\SLB\SLB_10-6-25_clean.parquet
SLB,10-7-25,280281,11073,87817,31.331882403310974,29,0.18444317242256567,99.95970016925929,13731,10,,32.70142841339111,0,0,0,success,data\clean\SLB\SLB_10-7-25_clean.parquet
SMCI,10-2-25,517003,19518,227730,44.04827069966983,200,1.2996296055624146,100.0,43420,0,,58.29833507537842,0,0,0,success,data\clean\SMCI\SMCI_10-2-25_clean.parquet
SMCI,10-3-25,605897,19283,310646,51.27068431111712,211,1.3226352410204978,100.0,43059,0,,58.03094458580017,0,0,0,success,data\clean\SMCI\SMCI_10-3-25_clean.parquet
TTD,10-2-25,194662,13030,64038,32.89702150394016,134,1.3353263577478824,100.0,22563,0,,42.49691295623779,0,0,0,success,data\clean\TTD\TTD_10-2-25_clean.parquet
TTD,10-3-25,270506,10563,136815,50.5776233341343,79,0.6768914403221661,100.0,18317,0,,39.544862031936646,0,0,0,success,data\clean\TTD\TTD_10-3-25_clean.parquet
SMCI,10-7-25,591439,23788,229392,38.78559979439872,236,1.3700220596772321,100.0,52912,0,,59.67126774787903,0,0,0,success,data\clean\SMCI\SMCI_10-7-25_clean.parquet
TTD,10-6-25,174891,9608,63912,36.54390448908177,87,0.9382076997735361,99.99270924467774,17822,2,,16.366477489471436,0,0,0,success,data\clean\TTD\TTD_10-6-25_clean.parquet
SMCI,10-8-25,543139,22805,206998,38.1115630126469,248,1.5526200463281787,100.0,56191,0,,58.13691020011902,0,0,0,success,data\clean\SMCI\SMCI_10-8-25_clean.parquet
TTD,10-8-25,141889,7886,51401,36.226204991225536,62,0.8031088082901554,100.0,16065,0,,16.16731572151184,0,0,0,success,data\clean\TTD\TTD_10-8-25_clean.parquet
SMCI,10-6-25,688539,22717,299388,43.48182230123044,340,2.0277926880181307,100.0,56194,0,,62.743218183517456,0,0,0,success,data\clean\SMCI\SMCI_10-6-25_clean.parquet
TTD,10-7-25,225479,13065,82353,36.523740675365225,114,1.0124333925399644,100.0,25921,0,,31.21173596382141,0,0,0,success,data\clean\TTD\TTD_10-7-25_clean.parquet
UBER,10-2-25,128588,8836,35598,27.683765203595982,50,0.5438920918089851,100.0,21087,0,,34.089536905288696,0,0,0,success,data\clean\UBER\UBER_10-2-25_clean.parquet
XYZ,10-2-25,109470,6594,28415,25.956883164337263,54,0.7060669456066946,99.99441964285715,11325,1,,26.42710828781128,0,0,0,success,data\clean\XYZ\XYZ_10-2-25_clean.parquet
UBER,10-8-25,136620,7894,46633,34.13336261162348,68,0.8280565026790063,99.99108575503655,14540,2,,27.458276510238647,0,0,0,success,data\clean\UBER\UBER_10-8-25_clean.parquet
UBER,10-7-25,187425,9650,65625,35.01400560224089,79,0.699548392809705,99.99316052253607,19590,2,,33.134061336517334,0,0,0,success,data\clean\UBER\UBER_10-7-25_clean.parquet
XYZ,10-6-25,68674,3519,15988,23.28100882430032,21,0.3443752049852411,100.0,7842,0,,9.82820725440979,0,0,0,success,data\clean\XYZ\XYZ_10-6-25_clean.parquet
XYZ,10-3-25,135533,4735,62887,46.39976979776143,39,0.47266997939643685,100.0,8791,0,,20.091258764266968,0,0,0,success,data\clean\XYZ\XYZ_10-3-25_clean.parquet
UBER,10-6-25,276129,16605,102005,36.941201182060496,185,1.559470622945292,100.0,32039,0,,36.327099323272705,0,0,0,success,data\clean\UBER\UBER_10-6-25_clean.parquet
UBER,10-3-25,353027,8983,205827,58.303637692407925,105,0.8028136707699366,100.0,16556,0,,37.32796382904053,0,0,0,success,data\clean\UBER\UBER_10-3-25_clean.parquet
XYZ,10-8-25,70478,3993,16302,23.130622321859303,36,0.5810200129115558,99.99210360075806,8670,1,,9.277563095092773,0,0,0,success,data\clean\XYZ\XYZ_10-8-25_clean.parquet
XYZ,10-7-25,90198,4389,19957,22.125767755382604,27,0.35395909805977976,100.0,9247,0,,10.802295923233032,0,0,0,success,data\clean\XYZ\XYZ_10-7-25_clean.parquet
