ticker,date,status,n_trades,n_bars,volume_threshold,avg_bar_volume,avg_bar_duration_seconds,n_features,features_with_nan,n_labeled,n_unlabeled,label_dist,output_path,file_size_mb,processing_time_seconds
DXCM,10-3-25,success,2588,155,2000,2071.4064516129033,130.3548387096774,9,2,152,3,"{""1"": 81, ""-1"": 67, ""0"": 7}",data\processed\DXCM\DXCM_10-3-25_processed.parquet,0.028388023376464844,1.4360203742980957
DXCM,10-6-25,success,3070,201,2000,2071.865671641791,100.99004975124379,9,2,195,6,"{""1"": 99, ""-1"": 95, ""0"": 7}",data\processed\DXCM\DXCM_10-6-25_processed.parquet,0.03122234344482422,1.8347587585449219
DOW,10-6-25,success,6050,433,2000,2216.4203233256353,46.4203233256351,9,2,426,7,"{""1"": 214, ""-1"": 212, ""0"": 7}",data\processed\DOW\DOW_10-6-25_processed.parquet,0.045723915100097656,4.548964500427246
DXCM,10-7-25,success,2717,157,2000,2066.828025477707,128.35031847133757,9,2,148,9,"{""-1"": 89, ""1"": 46, ""0"": 22}",data\processed\DXCM\DXCM_10-7-25_processed.parquet,0.028136253356933594,1.4275331497192383
DOW,10-3-25,success,7194,483,2000,2137.0683229813662,41.701863354037265,9,2,477,6,"{""1"": 254, ""-1"": 223, ""0"": 6}",data\processed\DOW\DOW_10-3-25_processed.parquet,0.04932880401611328,5.160461902618408
DOW,10-8-25,success,6651,473,2000,2158.801268498943,43.02959830866808,9,2,470,3,"{""1"": 245, ""-1"": 225, ""0"": 3}",data\processed\DOW\DOW_10-8-25_processed.parquet,0.04912281036376953,4.98537802696228
DXCM,10-8-25,success,4371,290,2000,2162.044827586207,69.9448275862069,9,2,285,5,"{""1"": 174, ""-1"": 111, ""0"": 5}",data\processed\DXCM\DXCM_10-8-25_processed.parquet,0.03844165802001953,2.8587472438812256
EQT,10-3-25,success,8120,493,2000,2104.436105476673,41.57403651115619,9,2,489,4,"{""1"": 255, ""-1"": 234, ""0"": 4}",data\processed\EQT\EQT_10-3-25_processed.parquet,0.05224609375,5.029075622558594
EQT,10-6-25,success,8200,488,2000,2088.3340163934427,41.96926229508197,9,2,486,2,"{""1"": 274, ""-1"": 212, ""0"": 2}",data\processed\EQT\EQT_10-6-25_processed.parquet,0.05140209197998047,4.984406471252441
EQT,10-8-25,success,6298,392,2000,2141.4489795918366,52.375,9,2,389,3,"{""-1"": 209, ""1"": 180, ""0"": 3}",data\processed\EQT\EQT_10-8-25_processed.parquet,0.0441741943359375,3.7868144512176514
EQT,10-7-25,success,8914,546,2000,2128.822344322344,37.311355311355314,9,2,543,3,"{""-1"": 274, ""1"": 269, ""0"": 3}",data\processed\EQT\EQT_10-7-25_processed.parquet,0.05556201934814453,5.788452863693237
DOW,10-2-25,success,10697,933,2000,2708.1950696677386,21.773847802786708,9,2,930,3,"{""1"": 499, ""-1"": 431, ""0"": 3}",data\processed\DOW\DOW_10-2-25_processed.parquet,0.0766134262084961,13.405729055404663
EQT,10-2-25,success,11820,733,2000,2115.169167803547,27.67257844474761,9,2,728,5,"{""-1"": 380, ""1"": 348, ""0"": 5}",data\processed\EQT\EQT_10-2-25_processed.parquet,0.06965065002441406,8.713234663009644
DOW,10-7-25,success,15650,1166,2000,2256.0197255574612,17.306174957118355,9,2,1164,2,"{""-1"": 586, ""1"": 578, ""0"": 2}",data\processed\DOW\DOW_10-7-25_processed.parquet,0.0941324234008789,15.659878730773926
FCX,10-3-25,success,15634,499,4600,4866.597194388778,42.054108216432866,9,2,495,4,"{""1"": 285, ""-1"": 210, ""0"": 4}",data\processed\FCX\FCX_10-3-25_processed.parquet,0.052420616149902344,6.246251583099365
FCX,10-6-25,success,18112,546,4600,4852.261904761905,38.472527472527474,9,2,542,4,"{""1"": 273, ""-1"": 269, ""0"": 4}",data\processed\FCX\FCX_10-6-25_processed.parquet,0.05621623992919922,7.30898642539978
FCX,10-7-25,success,16544,569,4600,4889.676625659051,36.94200351493849,9,2,567,2,"{""-1"": 293, ""1"": 274, ""0"": 2}",data\processed\FCX\FCX_10-7-25_processed.parquet,0.05725669860839844,7.4136576652526855
FCX,10-2-25,success,18967,647,4600,5024.017001545595,32.49459041731066,9,2,632,15,"{""-1"": 347, ""1"": 282, ""0"": 18}",data\processed\FCX\FCX_10-2-25_processed.parquet,0.06158924102783203,8.95134973526001
FCX,10-8-25,success,19214,602,4600,4879.340531561462,34.946843853820596,9,2,599,3,"{""1"": 301, ""-1"": 298, ""0"": 3}",data\processed\FCX\FCX_10-8-25_processed.parquet,0.0588836669921875,8.149426698684692
KVUE,10-3-25,success,9505,356,7500,7905.016853932584,59.10674157303371,9,2,350,6,"{""1"": 192, ""-1"": 158, ""0"": 6}",data\processed\KVUE\KVUE_10-3-25_processed.parquet,0.040283203125,4.483717679977417
KVUE,10-2-25,success,15648,566,7500,7966.475265017668,37.09893992932862,9,2,562,4,"{""1"": 306, ""-1"": 256, ""0"": 4}",data\processed\KVUE\KVUE_10-2-25_processed.parquet,0.053427696228027344,7.55623459815979
INTC,10-3-25,success,43633,543,20500,21370.01473296501,39.44198895027624,9,2,539,4,"{""-1"": 289, ""1"": 250, ""0"": 4}",data\processed\INTC\INTC_10-3-25_processed.parquet,0.05667686462402344,11.552240133285522
INTC,10-6-25,success,44095,571,20500,21561.493870402803,37.36602451838879,9,2,567,4,"{""-1"": 291, ""1"": 276, ""0"": 4}",data\processed\INTC\INTC_10-6-25_processed.parquet,0.06009387969970703,12.080755233764648
INTC,10-8-25,success,37667,497,20500,21294.816901408452,43.08853118712273,9,2,494,3,"{""1"": 260, ""-1"": 234, ""0"": 3}",data\processed\INTC\INTC_10-8-25_processed.parquet,0.053854942321777344,9.853591918945312
INTC,10-2-25,success,56511,838,20500,21324.095465393795,25.460620525059667,9,2,837,1,"{""1"": 459, ""-1"": 378, ""0"": 1}",data\processed\INTC\INTC_10-2-25_processed.parquet,0.07849979400634766,17.229590892791748
MCHP,10-2-25,success,4287,252,2000,2091.7619047619046,80.92857142857143,9,2,241,11,"{""1"": 130, ""-1"": 108, ""0"": 14}",data\processed\MCHP\MCHP_10-2-25_processed.parquet,0.03509044647216797,2.597980499267578
INTC,10-7-25,success,49328,636,20500,21128.28144654088,33.687106918238996,9,2,635,1,"{""1"": 347, ""-1"": 288, ""0"": 1}",data\processed\INTC\INTC_10-7-25_processed.parquet,0.06388473510742188,13.472283363342285
KVUE,10-8-25,success,10438,353,7500,7804.492917847026,59.76770538243626,9,2,351,2,"{""-1"": 177, ""1"": 174, ""0"": 2}",data\processed\KVUE\KVUE_10-8-25_processed.parquet,0.03957939147949219,4.334361791610718
MCHP,10-3-25,success,5362,322,2000,2081.9937888198756,63.909937888198755,9,2,320,2,"{""-1"": 183, ""1"": 134, ""0"": 5}",data\processed\MCHP\MCHP_10-3-25_processed.parquet,0.040584564208984375,3.4592416286468506
MCHP,10-6-25,success,4698,270,2000,2061.437037037037,76.03703703703704,9,2,266,4,"{""1"": 137, ""-1"": 129, ""0"": 4}",data\processed\MCHP\MCHP_10-6-25_processed.parquet,0.03690910339355469,2.6764698028564453
MCHP,10-8-25,success,3506,196,2000,2065.5051020408164,104.58673469387755,9,2,189,7,"{""1"": 111, ""-1"": 75, ""0"": 10}",data\processed\MCHP\MCHP_10-8-25_processed.parquet,0.031279563903808594,1.8991525173187256
KVUE,10-6-25,success,16680,611,7500,8075.92798690671,34.40261865793781,9,2,605,6,"{""-1"": 319, ""1"": 286, ""0"": 6}",data\processed\KVUE\KVUE_10-6-25_processed.parquet,0.05517768859863281,8.042850255966187
MCHP,10-7-25,success,5193,307,2000,2091.048859934853,66.74918566775244,9,2,293,14,"{""-1"": 184, ""1"": 109, ""0"": 14}",data\processed\MCHP\MCHP_10-7-25_processed.parquet,0.04014110565185547,3.050422430038452
NCLH,10-3-25,success,5474,363,2300,2591.5234159779616,56.23691460055097,9,2,358,5,"{""-1"": 186, ""1"": 172, ""0"": 5}",data\processed\NCLH\NCLH_10-3-25_processed.parquet,0.04140186309814453,3.6898701190948486
KVUE,10-7-25,success,22852,688,7500,7990.469476744186,30.511627906976745,9,2,682,6,"{""-1"": 351, ""1"": 331, ""0"": 6}",data\processed\KVUE\KVUE_10-7-25_processed.parquet,0.06294918060302734,9.994473934173584
NCLH,10-2-25,success,8785,535,2300,2679.7644859813086,38.1588785046729,9,2,530,5,"{""1"": 284, ""-1"": 246, ""0"": 5}",data\processed\NCLH\NCLH_10-2-25_processed.parquet,0.051849365234375,5.858872175216675
ON,10-3-25,success,4297,242,2000,2079.380165289256,84.90082644628099,9,2,241,1,"{""-1"": 122, ""1"": 119, ""0"": 1}",data\processed\ON\ON_10-3-25_processed.parquet,0.03428077697753906,2.4032044410705566
NCLH,10-7-25,success,6821,441,2300,2751.909297052154,46.471655328798185,9,2,437,4,"{""-1"": 233, ""1"": 204, ""0"": 4}",data\processed\NCLH\NCLH_10-7-25_processed.parquet,0.04636573791503906,4.778716325759888
ON,10-2-25,success,7409,443,2000,2114.0,46.293453724604966,9,2,439,4,"{""-1"": 236, ""1"": 203, ""0"": 4}",data\processed\ON\ON_10-2-25_processed.parquet,0.04837608337402344,4.858700513839722
NCLH,10-6-25,success,8339,552,2300,2537.210144927536,36.52717391304348,9,2,550,2,"{""1"": 279, ""-1"": 271, ""0"": 2}",data\processed\NCLH\NCLH_10-6-25_processed.parquet,0.054215431213378906,6.112577199935913
NCLH,10-8-25,success,7906,579,2300,2598.0587219343697,34.86010362694301,9,2,576,3,"{""-1"": 297, ""1"": 279, ""0"": 3}",data\processed\NCLH\NCLH_10-8-25_processed.parquet,0.055809974670410156,6.675604343414307
ON,10-6-25,success,6246,372,2000,2078.19623655914,54.454301075268816,9,2,369,3,"{""1"": 224, ""-1"": 145, ""0"": 3}",data\processed\ON\ON_10-6-25_processed.parquet,0.04393196105957031,4.16521430015564
ON,10-7-25,success,7269,447,2000,2098.324384787472,45.659955257270695,9,2,443,4,"{""-1"": 260, ""1"": 183, ""0"": 4}",data\processed\ON\ON_10-7-25_processed.parquet,0.050136566162109375,5.091177940368652
ON,10-8-25,success,7277,421,2000,2125.814726840855,48.589073634204276,9,2,419,2,"{""1"": 243, ""-1"": 176, ""0"": 2}",data\processed\ON\ON_10-8-25_processed.parquet,0.04765510559082031,5.060727596282959
PCG,10-2-25,success,13141,429,8700,9276.400932400933,49.16550116550116,9,2,426,3,"{""1"": 231, ""-1"": 195, ""0"": 3}",data\processed\PCG\PCG_10-2-25_processed.parquet,0.04417133331298828,5.818751811981201
PCG,10-3-25,success,11931,452,8700,9219.745575221239,45.98451327433628,9,2,444,8,"{""1"": 242, ""-1"": 202, ""0"": 8}",data\processed\PCG\PCG_10-3-25_processed.parquet,0.04425525665283203,5.953944206237793
PCG,10-6-25,success,16885,560,8700,9269.533928571429,37.753571428571426,9,2,557,3,"{""1"": 280, ""-1"": 277, ""0"": 3}",data\processed\PCG\PCG_10-6-25_processed.parquet,0.05048561096191406,7.715811729431152
SLB,10-3-25,success,7175,432,2200,2391.6296296296296,47.33101851851852,9,2,428,4,"{""-1"": 214, ""1"": 214, ""0"": 4}",data\processed\SLB\SLB_10-3-25_processed.parquet,0.04550361633300781,4.53559422492981
SLB,10-2-25,success,9841,658,2200,2403.392097264438,30.9468085106383,9,2,653,5,"{""-1"": 335, ""1"": 318, ""0"": 5}",data\processed\SLB\SLB_10-2-25_processed.parquet,0.06143379211425781,7.4033660888671875
SLB,10-6-25,success,8352,554,2200,2322.048736462094,37.04332129963899,9,2,550,4,"{""1"": 299, ""-1"": 251, ""0"": 4}",data\processed\SLB\SLB_10-6-25_processed.parquet,0.05358314514160156,5.960392475128174
PCG,10-8-25,success,19336,741,8700,9128.450742240217,28.26855600539811,9,2,735,6,"{""1"": 423, ""-1"": 312, ""0"": 6}",data\processed\PCG\PCG_10-8-25_processed.parquet,0.06570625305175781,10.347103834152222
PCG,10-7-25,success,22263,786,8700,9106.408396946565,26.734096692111958,9,2,783,3,"{""1"": 422, ""-1"": 361, ""0"": 3}",data\processed\PCG\PCG_10-7-25_processed.parquet,0.06698894500732422,11.453831672668457
