KVUE US Equity,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Trade,Best_Bid,Best_Ask",,,,,,,
Dates,Type,Price,Size,CondCodes,ExchCode,TradeTime,Spread
2025-10-08 09:35:00,BEST_BID,16.08,12,0,Z,0,0
2025-10-08 09:35:00,BEST_BID,16.08,7,0,P,0,0
2025-10-08 09:35:00,BEST_BID,16.08,5,0,F,0,0
2025-10-08 09:35:00,BEST_ASK,16.09,4,0,N,0,0
2025-10-08 09:35:01,BEST_ASK,16.09,4,0,G,0,0
2025-10-08 09:35:01,BEST_ASK,16.09,4,0,N,0,0
2025-10-08 09:35:01,BEST_ASK,16.09,7,0,Z,0,0
2025-10-08 09:35:01,BEST_ASK,16.09,8,0,Z,0,0
2025-10-08 09:35:01,BEST_BID,16.08,2,0,T,0,0
2025-10-08 09:35:01,BEST_ASK,16.09,4,0,N,0,0
2025-10-08 09:35:01,BEST_ASK,16.09,4,0,G,0,0
2025-10-08 09:35:01,BEST_BID,16.08,4,0,F,0,0
2025-10-08 09:35:01,BEST_ASK,16.09,10,0,Z,0,0
2025-10-08 09:35:01,BEST_ASK,16.09,11,0,Z,0,0
2025-10-08 09:35:01,BEST_BID,16.08,4,0,T,0,0
2025-10-08 09:35:01,BEST_BID,16.08,2,0,T,0,0
2025-10-08 09:35:01,BEST_ASK,16.09,4,0,G,0,0
2025-10-08 09:35:01,BEST_ASK,16.09,4,0,N,0,0
2025-10-08 09:35:01,BEST_BID,16.08,4,0,P,0,0
2025-10-08 09:35:01,BEST_BID,16.08,4,0,T,0,0
2025-10-08 09:35:01,BEST_ASK,16.09,4,0,G,0,0
2025-10-08 09:35:01,BEST_BID,16.08,2,0,G,0,0
2025-10-08 09:35:01,BEST_BID,16.08,2,0,T,0,0
2025-10-08 09:35:01,BEST_ASK,16.09,4,0,K,0,0
2025-10-08 09:35:01,BEST_BID,16.08,5,0,F,0,0
2025-10-08 09:35:02,TRADE,16.085,700,T,D,0,0
2025-10-08 09:35:02,BEST_ASK,16.09,4,0,N,0,0
2025-10-08 09:35:02,BEST_BID,16.08,11,0,Z,0,0
2025-10-08 09:35:02,BEST_ASK,16.09,7,0,Z,0,0
2025-10-08 09:35:02,BEST_ASK,16.09,8,0,Z,0,0
2025-10-08 09:35:02,BEST_BID,16.08,5,0,F,0,0
2025-10-08 09:35:02,BEST_ASK,16.09,4,0,N,0,0
2025-10-08 09:35:02,BEST_ASK,16.09,4,0,K,0,0
2025-10-08 09:35:02,BEST_ASK,16.09,4,0,N,0,0
2025-10-08 09:35:02,BEST_ASK,16.09,5,0,P,0,0
2025-10-08 09:35:02,BEST_BID,16.08,11,0,Z,0,0
2025-10-08 09:35:02,BEST_ASK,16.09,4,0,N,0,0
2025-10-08 09:35:02,BEST_BID,16.08,7,0,F,0,0
2025-10-08 09:35:03,BEST_ASK,16.09,7,0,N,0,0
2025-10-08 09:35:03,TRADE,16.085,100,0,N,0,0
2025-10-08 09:35:03,BEST_BID,16.08,5,0,F,0,0
2025-10-08 09:35:03,BEST_ASK,16.09,9,0,Z,0,0
2025-10-08 09:35:03,BEST_ASK,16.09,10,0,Z,0,0
2025-10-08 09:35:03,TRADE,16.085,100,T,D,0,0
2025-10-08 09:35:03,TRADE,16.085,100,0,F,0,0
2025-10-08 09:35:03,TRADE,16.085,100,T,D,0,0
2025-10-08 09:35:03,TRADE,16.085,200,"R6,IS",P,0,0
2025-10-08 09:35:03,BEST_BID,16.08,11,0,Z,0,0
2025-10-08 09:35:03,BEST_BID,16.08,5,0,F,0,0
2025-10-08 09:35:03,BEST_ASK,16.09,7,0,N,0,0
2025-10-08 09:35:03,BEST_BID,16.08,11,0,Z,0,0
2025-10-08 09:35:03,BEST_BID,16.08,7,0,F,0,0
2025-10-08 09:35:03,BEST_BID,16.08,5,0,F,0,0
2025-10-08 09:35:03,BEST_BID,16.08,7,0,F,0,0
2025-10-08 09:35:04,BEST_BID,16.08,8,0,Z,0,0
2025-10-08 09:35:04,BEST_BID,16.08,7,0,F,0,0
2025-10-08 09:35:04,BEST_BID,16.08,5,0,P,0,0
2025-10-08 09:35:04,BEST_BID,16.08,7,0,F,0,0
2025-10-08 09:35:04,BEST_ASK,16.09,10,0,N,0,0
2025-10-08 09:35:04,BEST_BID,16.08,5,0,P,0,0
2025-10-08 09:35:04,BEST_BID,16.08,5,0,F,0,0
2025-10-08 09:35:04,BEST_BID,16.08,5,0,P,0,0
2025-10-08 09:35:04,BEST_BID,16.08,7,0,F,0,0
2025-10-08 09:35:04,BEST_BID,16.08,5,0,F,0,0
2025-10-08 09:35:05,BEST_BID,16.08,7,0,F,0,0
2025-10-08 09:35:05,BEST_BID,16.08,8,0,Z,0,0
2025-10-08 09:35:05,BEST_BID,16.08,7,0,F,0,0
2025-10-08 09:35:05,BEST_ASK,16.09,11,0,N,0,0
